feature num 267 field num 33
WARNING:tensorflow:Variable += will be deprecated. Use variable.assign_add if you want assignment to the variable value or 'x = x + y' if you want a new python Tensor object.
2018-04-22 03:18:54.083857: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
loop:588 losses:213.403152466
loop:589 losses:95.0278320312
loop:590 losses:79.1206054688
loop:591 losses:175.827697754
loop:592 losses:50.7328033447
loop:593 losses:76.1807556152
loop:594 losses:193.575592041
loop:595 losses:181.45223999
loop:596 losses:72.3131103516
loop:597 losses:252.525985718
loop:598 losses:92.739944458
loop:599 losses:150.421661377
loop:601 losses:162.405426025
loop:602 losses:379.673431396
loop:603 losses:256.148651123
loop:604 losses:256.04901123
loop:605 losses:114.7629776
loop:606 losses:124.202705383
loop:607 losses:39.7156295776
loop:608 losses:147.218505859
loop:609 losses:531.49798584
loop:610 losses:157.724884033
loop:611 losses:83.6175613403
loop:612 losses:89.8739471436
loop:613 losses:335.055908203
loop:614 losses:180.24458313
loop:615 losses:300.436401367
loop:616 losses:489.049530029
loop:617 losses:660.146728516
loop:618 losses:455.437683105
loop:619 losses:502.684143066
loop:620 losses:378.846740723
loop:621 losses:294.535614014
loop:622 losses:362.155639648
loop:623 losses:319.60144043
loop:624 losses:175.184616089
loop:625 losses:125.438980103
loop:626 losses:61.0660095215
loop:627 losses:44.9314346313
loop:628 losses:95.0031967163
loop:629 losses:1475.40686035
loop:630 losses:41.048866272
loop:631 losses:164.320648193
loop:632 losses:154.356140137
loop:633 losses:106.774734497
loop:634 losses:230.500976562
loop:635 losses:297.674316406
loop:636 losses:270.316955566
loop:637 losses:513.84576416
loop:638 losses:447.372680664
loop:639 losses:311.866119385
loop:640 losses:435.803894043
loop:641 losses:207.149749756
loop:642 losses:328.480895996
loop:643 losses:264.56427002
loop:644 losses:265.929504395
loop:645 losses:165.371994019
loop:646 losses:235.770263672
loop:647 losses:103.678833008
loop:648 losses:61.4321975708
loop:649 losses:43.7540359497
loop:651 losses:758.010742188
loop:652 losses:820.771179199
loop:653 losses:57.7155227661
loop:654 losses:69.4842300415
loop:655 losses:182.893005371
loop:656 losses:273.044433594
loop:657 losses:183.733123779
loop:658 losses:398.43548584
loop:659 losses:405.456420898
loop:660 losses:297.826019287
loop:661 losses:623.887939453
loop:662 losses:474.326843262
loop:663 losses:276.022521973
loop:664 losses:245.206893921
loop:665 losses:237.071746826
loop:666 losses:174.563400269
loop:667 losses:358.483947754
loop:668 losses:248.870361328
loop:669 losses:128.650558472
loop:670 losses:466.35647583
loop:671 losses:23.831035614
loop:672 losses:27.5384140015
loop:673 losses:54.899520874
loop:674 losses:96.0045852661
loop:675 losses:119.866699219
loop:676 losses:31.3183059692
loop:677 losses:62.1948890686
loop:678 losses:64.2875213623
loop:679 losses:96.1397781372
loop:680 losses:95.7376251221
loop:681 losses:379.611999512
loop:682 losses:100.490997314
loop:683 losses:139.079086304
loop:684 losses:134.360931396
loop:685 losses:200.734527588
loop:686 losses:138.98348999
loop:687 losses:117.687896729
loop:688 losses:125.464141846
loop:689 losses:74.5249023438
loop:690 losses:43.3069839478
loop:691 losses:48.1192512512
loop:692 losses:69.0587158203
loop:693 losses:513.609619141
loop:694 losses:106.857254028
loop:695 losses:96.0934448242
loop:696 losses:263.578704834
loop:697 losses:185.072875977
loop:698 losses:272.65802002
loop:699 losses:121.190231323
loop:701 losses:66.2044754028
loop:702 losses:76.3448104858
loop:703 losses:104.448692322
loop:704 losses:72.2760467529
loop:705 losses:81.6182174683
loop:706 losses:52.6867599487
loop:707 losses:530.429077148
loop:708 losses:254.664428711
loop:709 losses:64.6334381104
loop:710 losses:125.697540283
loop:711 losses:161.119232178
loop:712 losses:326.685180664
loop:713 losses:187.070526123
loop:714 losses:92.2179260254
